genus	count	evidence
Brachybacterium	7	Bartlett;UNITN;MGNIFY/vaginal;WIS
Buchnera	7	Not found
Fenollaria	7	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Pantoea	7	Bartlett;MGNIFY/gut;WIS
Pedobacter	7	Not found
Penicillium	7	Not found
Propionibacterium	7	Bartlett;MGNIFY/gut;MGNIFY/oral;WIS
Proteus	7	Bartlett;MGNIFY/gut;MGNIFY/vaginal;WIS
Pseudoduganella	7	Not found
Scrofimicrobium	7	Not found
Amygdalobacter	6	Not found
Cryptobacterium	6	Bartlett;MGNIFY/oral
Ezakiella	6	MGNIFY/gut;MGNIFY/vaginal
Lysinibacillus	6	Bartlett;UNITN;MGNIFY/gut;WIS
Mageeibacillus	6	MGNIFY/vaginal
Mastadenovirus	6	Not found
Monocercomonoides	6	Not found
Qipengyuania	6	Not found
Sellimonas	6	MGNIFY/gut
Tenacibaculum	6	Not found
Azospirillum	5	WIS
Berryella	5	MGNIFY/vaginal
Butyrivibrio	5	MGNIFY/oral
Christensenella	5	MGNIFY/gut
Devosia	5	WIS
Erythrobacter	5	Not found
Hymenobacter	5	WIS
Lacrimispora	5	MGNIFY/gut
Nocardia	5	Bartlett
Priestia	5	Not found
Rhodoferax	5	Not found
Acetobacter	4	Bartlett;UNITN
Aerococcus	4	Bartlett;MGNIFY/vaginal;WIS
Altererythrobacter	4	WIS
Atopobium	4	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Cellulomonas	4	Bartlett;MGNIFY/gut;WIS
Cenococcum	4	Not found
Eponavirus	4	Not found
Geobacillus	4	WIS
Giardia	4	Not found
Herbaspirillum	4	Bartlett
Leptospira	4	Bartlett;UNITN
Leucobacter	4	Not found
Lymphocryptovirus	4	Not found
Lysobacter	4	WIS
Methanomethylophilus	4	MGNIFY/gut
Mucilaginibacter	4	Not found
Neobacillus	4	MGNIFY/gut
Nonagvirus	4	Not found
Peribacillus	4	MGNIFY/gut
Porphyrobacter	4	Not found
Rahnella	4	Bartlett;MGNIFY/gut
Raoultella	4	Bartlett;MGNIFY/gut
Salmonella	4	Bartlett;MGNIFY/gut
Simonsiella	4	Not found
Sordaria	4	Not found
Sphaerotilus	4	Not found
Varibaculum	4	Bartlett;UNITN;MGNIFY/gut;MGNIFY/vaginal;WIS
Agrococcus	3	Not found
Arcobacter	3	Bartlett;WIS
Arthrobacter	3	Bartlett;WIS
Azospira	3	Not found
Blastomonas	3	Not found
Blattabacterium	3	Not found
Brigitvirus	3	Not found
Clostridioides	3	Bartlett;MGNIFY/gut
Croceibacterium	3	Not found
Croceicoccus	3	Not found
Desulfomicrobium	3	Bartlett
Erwinia	3	Bartlett;WIS
Faecalibacillus	3	MGNIFY/gut
Geodermatophilus	3	Not found
Glutamicibacter	3	Not found
Halomonas	3	Bartlett;WIS
Ideonella	3	Not found
Kagunavirus	3	Not found
Limnobacter	3	WIS
Luteimonas	3	WIS
Methylibium	3	Not found
Mycoplasmopsis	3	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Nakaseomyces	3	Not found
Neurospora	3	Not found
Oligella	3	Bartlett;MGNIFY/vaginal
Parascardovia	3	MGNIFY/gut;MGNIFY/oral
Parasphingorhabdus	3	Not found
Pedococcus	3	Not found
Phenylobacterium	3	WIS
Polymorphobacter	3	Not found
Providencia	3	Bartlett;MGNIFY/gut
Psychrobacter	3	Bartlett;WIS
Rhizobacter	3	Not found
Rhizorhabdus	3	Not found
Rubrivivax	3	WIS
Rubrobacter	3	Not found
Saccharopolyspora	3	Bartlett
Schleiferilactobacillus	3	MGNIFY/gut
Shigella	3	Bartlett
Sneathia	3	Bartlett;MGNIFY/gut;MGNIFY/vaginal
Sphingorhabdus	3	Not found
Sphingosinicella	3	Not found
Sphingosinithalassobacter	3	Not found
Stakelama	3	Not found
Thauera	3	Not found
Thermophilibacter	3	Not found
Tsuneonella	3	Not found
Ureaplasma	3	Bartlett;MGNIFY/gut;MGNIFY/vaginal
